idx,ratio,init_sgn,sgn,energy,volume,natom,a,b,c,alpha,beta,gamma,force_conv,steps,opt_conv
post-0,167,167,-229.4778289794922,313.5613301389492,30,4.744187105757705,4.744187105757706,16.08674763457147,90.0,90.0,120.00000000000001,True,93,True
post-1,167,167,-230.4173583984375,323.56786351574664,30,4.794125917397261,4.79412591739726,16.256081820198542,90.0,90.0,120.00000000000001,True,129,True
post-2,167,167,-231.09754943847656,333.785053053688,30,4.844064729036818,4.844064729036817,16.42541600582561,90.0,90.0,120.00000000000001,True,68,True
post-3,167,167,-231.5538330078125,344.2150930877834,30,4.894003540676372,4.894003540676372,16.594750191452675,90.0,90.0,120.00000000000001,True,123,True
post-4,167,167,-231.812744140625,354.8601779530456,30,4.943942352315926,4.943942352315924,16.764084377079747,90.0,90.0,120.00000000000001,True,54,True
post-5,167,167,-231.89540100097656,365.7225019844868,30,4.99388116395548,4.9938811639554785,16.933418562706812,90.0,90.0,120.00000000000001,True,4,True
post-6,167,167,-231.81829833984375,376.8042595171192,30,5.043819975595035,5.043819975595035,17.102752748333884,90.0,90.0,120.00000000000001,True,152,True
post-7,167,167,-231.5985107421875,388.10764488595333,30,5.09375878723459,5.093758787234589,17.272086933960953,90.0,90.0,120.00000000000001,True,81,True
post-8,167,167,-231.24896240234375,399.6348524260023,30,5.143697598874144,5.143697598874142,17.44142111958802,90.0,90.0,120.00000000000001,True,82,True
post-9,167,167,-230.78091430664062,411.3880764722781,30,5.193636410513699,5.193636410513699,17.61075530521509,90.0,90.0,120.00000000000001,True,137,True
post-10,167,167,-230.20504760742188,423.3695113597914,30,5.243575222153253,5.243575222153252,17.78008949084216,90.0,90.0,120.00000000000001,True,82,True
