temperature,cte
0.000000000000000,0.0
2.000000000000000,-9.42856e-10
4.000000000000000,-1.580195e-09
6.000000000000000,-2.480067e-09
8.000000000000000,-2.853829e-09
10.000000000000000,-3.708608e-09
12.000000000000000,-5.972643e-09
14.000000000000000,-1.0156648e-08
16.000000000000000,-1.6442732e-08
18.000000000000000,-2.7043042e-08
20.000000000000000,-4.583904e-08
22.000000000000000,-7.4252566e-08
24.000000000000000,-1.12061062e-07
26.000000000000000,-1.63462796e-07
28.000000000000000,-2.26837252e-07
30.000000000000000,-3.00877943e-07
32.000000000000000,-3.86482056e-07
34.000000000000000,-4.81149783e-07
36.000000000000000,-5.83763576e-07
38.000000000000000,-6.91939487e-07
40.000000000000000,-8.04326328e-07
42.000000000000000,-9.19532349e-07
44.000000000000000,-1.034355126e-06
46.000000000000000,-1.149159791e-06
48.000000000000000,-1.26169998e-06
50.000000000000000,-1.370080269e-06
52.000000000000000,-1.474735839e-06
54.000000000000000,-1.573776284e-06
56.000000000000000,-1.667522663e-06
58.000000000000000,-1.752856039e-06
60.000000000000000,-1.830647687e-06
62.000000000000000,-1.902325832e-06
64.000000000000000,-1.965190372e-06
66.000000000000000,-2.01801957e-06
68.000000000000000,-2.062414023e-06
70.000000000000000,-2.098675605e-06
72.000000000000000,-2.125662877e-06
74.000000000000000,-2.144080328e-06
76.000000000000000,-2.153358655e-06
78.000000000000000,-2.154165831e-06
80.000000000000000,-2.145710503e-06
82.000000000000000,-2.129241543e-06
84.000000000000000,-2.104723307e-06
86.000000000000000,-2.072493119e-06
88.000000000000000,-2.032241437e-06
90.000000000000000,-1.984573713e-06
92.000000000000000,-1.931449312e-06
94.000000000000000,-1.869783002e-06
96.000000000000000,-1.801573589e-06
98.000000000000000,-1.729144444e-06
100.000000000000000,-1.6498592e-06
102.000000000000000,-1.564996101e-06
104.000000000000000,-1.476256855e-06
106.000000000000000,-1.382146201e-06
108.000000000000000,-1.28344802e-06
110.000000000000000,-1.181229775e-06
112.000000000000000,-1.074917172e-06
114.000000000000000,-9.65467118e-07
116.000000000000000,-8.53629324e-07
118.000000000000000,-7.38409401e-07
120.000000000000000,-6.201848e-07
122.000000000000000,-5.00175412e-07
124.000000000000000,-3.78258121e-07
126.000000000000000,-2.54288157e-07
128.000000000000000,-1.28246549e-07
130.000000000000000,-1.806768e-09
132.000000000000000,1.25319857e-07
134.000000000000000,2.5475165e-07
136.000000000000000,3.83586921e-07
138.000000000000000,5.13915801e-07
140.000000000000000,6.44718276e-07
142.000000000000000,7.74874386e-07
144.000000000000000,9.05905772e-07
146.000000000000000,1.036755219e-06
148.000000000000000,1.167523908e-06
150.000000000000000,1.297531633e-06
152.000000000000000,1.427639951e-06
154.000000000000000,1.557335825e-06
156.000000000000000,1.686138679e-06
158.000000000000000,1.81462832e-06
160.000000000000000,1.941930175e-06
162.000000000000000,2.068709863e-06
164.000000000000000,2.195196277e-06
166.000000000000000,2.319968003e-06
168.000000000000000,2.443412655e-06
170.000000000000000,2.566491213e-06
172.000000000000000,2.689099122e-06
174.000000000000000,2.809575149e-06
176.000000000000000,2.928962805e-06
178.000000000000000,3.0478502e-06
180.000000000000000,3.164951589e-06
182.000000000000000,3.280749288e-06
184.000000000000000,3.395867286e-06
186.000000000000000,3.509291585e-06
188.000000000000000,3.621129829e-06
190.000000000000000,3.732299334e-06
192.000000000000000,3.84208801e-06
194.000000000000000,3.950241776e-06
196.000000000000000,4.057311271e-06
198.000000000000000,4.162892754e-06
200.000000000000000,4.267376969e-06
202.000000000000000,4.370505002e-06
204.000000000000000,4.471836024e-06
206.000000000000000,4.572278256e-06
208.000000000000000,4.671519525e-06
210.000000000000000,4.76913918e-06
212.000000000000000,4.865416359e-06
214.000000000000000,4.960665355e-06
216.000000000000000,5.054537886e-06
218.000000000000000,5.146887697e-06
220.000000000000000,5.238209568e-06
222.000000000000000,5.328243171e-06
224.000000000000000,5.417027055e-06
226.000000000000000,5.50484619e-06
228.000000000000000,5.590958919e-06
230.000000000000000,5.67582354e-06
232.000000000000000,5.759946933e-06
234.000000000000000,5.842526846e-06
236.000000000000000,5.923984575e-06
238.000000000000000,6.00449813e-06
240.000000000000000,6.083815888e-06
242.000000000000000,6.161991781e-06
244.000000000000000,6.23868453e-06
246.000000000000000,6.314561579e-06
248.000000000000000,6.389610844e-06
250.000000000000000,6.463211775e-06
252.000000000000000,6.535789427e-06
254.000000000000000,6.607373938e-06
256.000000000000000,6.678025726e-06
258.000000000000000,6.747829881e-06
260.000000000000000,6.816223195e-06
262.000000000000000,6.883628751e-06
264.000000000000000,6.950574376e-06
266.000000000000000,7.016271726e-06
268.000000000000000,7.080889386e-06
270.000000000000000,7.144800923e-06
272.000000000000000,7.207610208e-06
274.000000000000000,7.269714447e-06
276.000000000000000,7.330769177e-06
278.000000000000000,7.391033429e-06
280.000000000000000,7.450507354e-06
282.000000000000000,7.509073617e-06
284.000000000000000,7.566816809e-06
286.000000000000000,7.623650065e-06
288.000000000000000,7.679912274e-06
290.000000000000000,7.735122414e-06
292.000000000000000,7.789806758e-06
294.000000000000000,7.843821376e-06
296.000000000000000,7.896354194e-06
298.000000000000000,7.948735802e-06
300.000000000000000,8.000617027e-06
302.000000000000000,8.051481585e-06
304.000000000000000,8.101567953e-06
306.000000000000000,8.151027344e-06
308.000000000000000,8.200004723e-06
310.000000000000000,8.248066667e-06
312.000000000000000,8.295217925e-06
314.000000000000000,8.342542566e-06
316.000000000000000,8.388926136e-06
318.000000000000000,8.433920979e-06
320.000000000000000,8.478972121e-06
322.000000000000000,8.52350815e-06
324.000000000000000,8.567162085e-06
326.000000000000000,8.610390983e-06
328.000000000000000,8.652855094e-06
330.000000000000000,8.694893137e-06
332.000000000000000,8.736824467e-06
334.000000000000000,8.777991527e-06
336.000000000000000,8.817720664e-06
338.000000000000000,8.857539903e-06
340.000000000000000,8.897469647e-06
342.000000000000000,8.936163344e-06
344.000000000000000,8.974436768e-06
346.000000000000000,9.012255347e-06
348.000000000000000,9.049463768e-06
350.000000000000000,9.086266301e-06
352.000000000000000,9.123262994e-06
354.000000000000000,9.159407892e-06
356.000000000000000,9.194024676e-06
358.000000000000000,9.229003969e-06
360.000000000000000,9.264084413e-06
362.000000000000000,9.29824996e-06
364.000000000000000,9.332786527e-06
366.000000000000000,9.365692563e-06
368.000000000000000,9.397882045e-06
370.000000000000000,9.430985374e-06
372.000000000000000,9.46263188e-06
374.000000000000000,9.494536267e-06
376.000000000000000,9.526656103e-06
378.000000000000000,9.55674361e-06
380.000000000000000,9.587464622e-06
382.000000000000000,9.617887035e-06
384.000000000000000,9.647721572e-06
386.000000000000000,9.677735451e-06
388.000000000000000,9.705792788e-06
390.000000000000000,9.734708252e-06
392.000000000000000,9.763803756e-06
394.000000000000000,9.792122388e-06
396.000000000000000,9.820084025e-06
398.000000000000000,9.847637653e-06
400.000000000000000,9.874555043e-06
402.000000000000000,9.900643133e-06
404.000000000000000,9.928011837e-06
406.000000000000000,9.954200854e-06
408.000000000000000,9.979330378e-06
410.000000000000000,1.0005985393e-05
412.000000000000000,1.0031301545e-05
414.000000000000000,1.005620975e-05
416.000000000000000,1.0081716678e-05
418.000000000000000,1.0105486651e-05
420.000000000000000,1.012897307e-05
422.000000000000000,1.0153336226e-05
424.000000000000000,1.0177782084e-05
426.000000000000000,1.0201342097e-05
428.000000000000000,1.0224533542e-05
430.000000000000000,1.024672343e-05
432.000000000000000,1.0270122658e-05
434.000000000000000,1.0293149829e-05
436.000000000000000,1.0313342241e-05
438.000000000000000,1.0336161381e-05
440.000000000000000,1.0358875314e-05
442.000000000000000,1.0379726369e-05
444.000000000000000,1.0401670029e-05
446.000000000000000,1.0422283574e-05
448.000000000000000,1.0442831152e-05
450.000000000000000,1.0464187233e-05
452.000000000000000,1.0484496635e-05
454.000000000000000,1.0504091556e-05
456.000000000000000,1.0524632528e-05
458.000000000000000,1.054421967e-05
460.000000000000000,1.0563170932e-05
462.000000000000000,1.0583694247e-05
464.000000000000000,1.060272877e-05
466.000000000000000,1.0620706045e-05
468.000000000000000,1.0639946744e-05
470.000000000000000,1.0659849497e-05
472.000000000000000,1.0677591736e-05
474.000000000000000,1.0695871734e-05
476.000000000000000,1.0714263955e-05
478.000000000000000,1.0730937527e-05
480.000000000000000,1.0748705939e-05
482.000000000000000,1.0767988283e-05
484.000000000000000,1.0785812185e-05
486.000000000000000,1.0802309732e-05
488.000000000000000,1.0818093861e-05
490.000000000000000,1.0835198837e-05
492.000000000000000,1.0853406784e-05
494.000000000000000,1.0868485781e-05
496.000000000000000,1.0884867767e-05
498.000000000000000,1.0902272006e-05
500.000000000000000,1.0919214919e-05
502.000000000000000,1.0933779746e-05
504.000000000000000,1.0948709419e-05
506.000000000000000,1.0966117307e-05
508.000000000000000,1.0981253315e-05
