idx,energy,volume,natom,a,b,c,alpha,beta,gamma,conv
pre,-43.31768798828125,163.55317727138214,8,5.4687280655,5.4687280655,5.4687280655,90.0,90.0,90.0,True
post,-43.317848205566406,163.21721387419336,8,5.464980962254757,5.464980962254757,5.464980962254757,90.0,90.0,90.0,True
