# Volume points
 119.65668    0.31566   0.31566   0.31566   0.31565   0.31563   0.31560   0.31553   0.31541   0.31523   0.31499   0.31466   0.31424   0.31373   0.31312   0.31239   0.31156   0.31060   0.30953   0.30834   0.30702   0.30557   0.30400   0.30230   0.30047   0.29851   0.29642   0.29420   0.29185   0.28938   0.28677   0.28404   0.28118   0.27820   0.27509   0.27186   0.26850   0.26502   0.26142   0.25770   0.25387   0.24991   0.24583   0.24164   0.23734   0.23292   0.22839   0.22374   0.21899   0.21413   0.20915   0.20407   0.19888   0.19359   0.18819   0.18269   0.17708   0.17137   0.16556   0.15965   0.15364   0.14753   0.14133   0.13502   0.12862   0.12212   0.11553   0.10885   0.10206   0.09519   0.08823   0.08117   0.07402   0.06679   0.05946   0.05204   0.04454   0.03695   0.02927   0.02150   0.01365   0.00572  -0.00230  -0.01041  -0.01859  -0.02686  -0.03522  -0.04365  -0.05217  -0.06076  -0.06944  -0.07820  -0.08703  -0.09594  -0.10494  -0.11401  -0.12315  -0.13238  -0.14168  -0.15105  -0.16050  -0.17003  -0.17963  -0.18930  -0.19905  -0.20887  -0.21877  -0.22873  -0.23877  -0.24888  -0.25906  -0.26931  -0.27963  -0.29002  -0.30048  -0.31101  -0.32161  -0.33227  -0.34301  -0.35381  -0.36468  -0.37562  -0.38662  -0.39769  -0.40882  -0.42002  -0.43129  -0.44261  -0.45401  -0.46547  -0.47699  -0.48857  -0.50022  -0.51193  -0.52370  -0.53554  -0.54744  -0.55940  -0.57142  -0.58350  -0.59564  -0.60784  -0.62010  -0.63242  -0.64480  -0.65724  -0.66974  -0.68230  -0.69491  -0.70758  -0.72031  -0.73310  -0.74595  -0.75885  -0.77181  -0.78482  -0.79790  -0.81102  -0.82420  -0.83744  -0.85074  -0.86408  -0.87749  -0.89094  -0.90445  -0.91802  -0.93163  -0.94530  -0.95903  -0.97281  -0.98664  -1.00052  -1.01445  -1.02844  -1.04247  -1.05656  -1.07070  -1.08490  -1.09914  -1.11343  -1.12777  -1.14217  -1.15661  -1.17110  -1.18564  -1.20024  -1.21488  -1.22957  -1.24430  -1.25909  -1.27392  -1.28881  -1.30374  -1.31872  -1.33374  -1.34882  -1.36394  -1.37910  -1.39432  -1.40958  -1.42488
 123.31939    0.26903   0.26903   0.26903   0.26903   0.26902   0.26900   0.26895   0.26887   0.26874   0.26854   0.26827   0.26792   0.26748   0.26693   0.26628   0.26552   0.26464   0.26364   0.26251   0.26126   0.25988   0.25836   0.25672   0.25494   0.25303   0.25098   0.24881   0.24650   0.24405   0.24147   0.23877   0.23593   0.23296   0.22986   0.22664   0.22329   0.21981   0.21621   0.21248   0.20863   0.20467   0.20058   0.19637   0.19205   0.18761   0.18305   0.17838   0.17360   0.16870   0.16369   0.15858   0.15335   0.14802   0.14258   0.13703   0.13138   0.12563   0.11977   0.11381   0.10775   0.10159   0.09533   0.08897   0.08251   0.07596   0.06930   0.06256   0.05572   0.04878   0.04175   0.03463   0.02742   0.02012   0.01272   0.00524  -0.00234  -0.01000  -0.01775  -0.02558  -0.03351  -0.04152  -0.04961  -0.05779  -0.06605  -0.07440  -0.08283  -0.09134  -0.09994  -0.10861  -0.11737  -0.12621  -0.13513  -0.14412  -0.15320  -0.16235  -0.17158  -0.18089  -0.19027  -0.19973  -0.20927  -0.21888  -0.22857  -0.23833  -0.24817  -0.25808  -0.26806  -0.27812  -0.28825  -0.29845  -0.30872  -0.31906  -0.32947  -0.33995  -0.35051  -0.36113  -0.37182  -0.38258  -0.39341  -0.40431  -0.41527  -0.42630  -0.43740  -0.44857  -0.45980  -0.47109  -0.48246  -0.49388  -0.50538  -0.51693  -0.52855  -0.54024  -0.55198  -0.56379  -0.57567  -0.58760  -0.59960  -0.61166  -0.62378  -0.63596  -0.64821  -0.66051  -0.67287  -0.68530  -0.69778  -0.71032  -0.72292  -0.73558  -0.74830  -0.76108  -0.77391  -0.78681  -0.79976  -0.81276  -0.82583  -0.83895  -0.85213  -0.86536  -0.87865  -0.89199  -0.90539  -0.91884  -0.93235  -0.94592  -0.95954  -0.97321  -0.98693  -1.00071  -1.01454  -1.02843  -1.04237  -1.05636  -1.07040  -1.08450  -1.09864  -1.11284  -1.12709  -1.14139  -1.15574  -1.17015  -1.18460  -1.19910  -1.21366  -1.22826  -1.24291  -1.25761  -1.27237  -1.28717  -1.30202  -1.31691  -1.33186  -1.34686  -1.36190  -1.37699  -1.39213  -1.40731  -1.42254  -1.43782  -1.45315  -1.46852  -1.48394
 127.05610    0.28285   0.28285   0.28285   0.28285   0.28284   0.28283   0.28279   0.28273   0.28262   0.28246   0.28223   0.28192   0.28152   0.28102   0.28042   0.27970   0.27887   0.27791   0.27682   0.27561   0.27426   0.27278   0.27116   0.26941   0.26752   0.26549   0.26332   0.26102   0.25858   0.25600   0.25329   0.25044   0.24746   0.24434   0.24110   0.23773   0.23422   0.23059   0.22684   0.22295   0.21895   0.21482   0.21057   0.20620   0.20171   0.19711   0.19239   0.18755   0.18260   0.17754   0.17236   0.16708   0.16168   0.15618   0.15057   0.14485   0.13903   0.13310   0.12707   0.12093   0.11470   0.10836   0.10193   0.09539   0.08876   0.08203   0.07520   0.06828   0.06126   0.05415   0.04695   0.03965   0.03226   0.02478   0.01721   0.00954   0.00179  -0.00605  -0.01397  -0.02199  -0.03009  -0.03828  -0.04655  -0.05491  -0.06335  -0.07187  -0.08048  -0.08917  -0.09794  -0.10680  -0.11573  -0.12475  -0.13384  -0.14302  -0.15227  -0.16160  -0.17101  -0.18050  -0.19006  -0.19970  -0.20942  -0.21921  -0.22907  -0.23901  -0.24903  -0.25911  -0.26927  -0.27951  -0.28981  -0.30019  -0.31064  -0.32116  -0.33175  -0.34241  -0.35314  -0.36394  -0.37481  -0.38575  -0.39676  -0.40783  -0.41897  -0.43018  -0.44146  -0.45280  -0.46421  -0.47568  -0.48722  -0.49882  -0.51049  -0.52223  -0.53402  -0.54588  -0.55781  -0.56979  -0.58184  -0.59396  -0.60613  -0.61837  -0.63066  -0.64302  -0.65544  -0.66792  -0.68046  -0.69306  -0.70572  -0.71843  -0.73121  -0.74405  -0.75694  -0.76989  -0.78290  -0.79597  -0.80910  -0.82228  -0.83552  -0.84881  -0.86216  -0.87557  -0.88903  -0.90255  -0.91613  -0.92975  -0.94344  -0.95717  -0.97097  -0.98481  -0.99871  -1.01266  -1.02667  -1.04073  -1.05484  -1.06900  -1.08322  -1.09749  -1.11181  -1.12618  -1.14060  -1.15508  -1.16960  -1.18418  -1.19880  -1.21348  -1.22820  -1.24298  -1.25780  -1.27268  -1.28760  -1.30257  -1.31760  -1.33266  -1.34778  -1.36295  -1.37816  -1.39343  -1.40873  -1.42409  -1.43949  -1.45495  -1.47044  -1.48599
 130.86753    0.34846   0.34845   0.34845   0.34845   0.34844   0.34843   0.34840   0.34834   0.34823   0.34808   0.34786   0.34755   0.34716   0.34667   0.34606   0.34534   0.34450   0.34353   0.34243   0.34119   0.33982   0.33830   0.33665   0.33485   0.33290   0.33082   0.32859   0.32622   0.32370   0.32105   0.31826   0.31532   0.31225   0.30905   0.30571   0.30223   0.29862   0.29488   0.29102   0.28702   0.28290   0.27865   0.27428   0.26978   0.26517   0.26044   0.25558   0.25061   0.24553   0.24032   0.23501   0.22958   0.22405   0.21840   0.21264   0.20678   0.20080   0.19473   0.18854   0.18226   0.17587   0.16938   0.16278   0.15609   0.14930   0.14241   0.13542   0.12834   0.12116   0.11388   0.10652   0.09905   0.09150   0.08385   0.07611   0.06828   0.06036   0.05235   0.04425   0.03607   0.02780   0.01944   0.01099   0.00246  -0.00616  -0.01486  -0.02364  -0.03251  -0.04145  -0.05049  -0.05960  -0.06879  -0.07806  -0.08742  -0.09685  -0.10636  -0.11595  -0.12562  -0.13536  -0.14518  -0.15508  -0.16505  -0.17510  -0.18522  -0.19542  -0.20569  -0.21604  -0.22646  -0.23695  -0.24751  -0.25814  -0.26885  -0.27963  -0.29047  -0.30139  -0.31238  -0.32344  -0.33456  -0.34576  -0.35702  -0.36835  -0.37975  -0.39121  -0.40274  -0.41434  -0.42600  -0.43773  -0.44953  -0.46139  -0.47331  -0.48530  -0.49735  -0.50947  -0.52165  -0.53389  -0.54619  -0.55856  -0.57099  -0.58348  -0.59603  -0.60864  -0.62131  -0.63405  -0.64684  -0.65969  -0.67260  -0.68558  -0.69861  -0.71170  -0.72484  -0.73805  -0.75131  -0.76463  -0.77801  -0.79144  -0.80494  -0.81848  -0.83209  -0.84575  -0.85946  -0.87323  -0.88706  -0.90094  -0.91487  -0.92886  -0.94290  -0.95700  -0.97115  -0.98536  -0.99961  -1.01392  -1.02828  -1.04270  -1.05717  -1.07168  -1.08625  -1.10088  -1.11555  -1.13027  -1.14505  -1.15987  -1.17475  -1.18967  -1.20465  -1.21967  -1.23475  -1.24987  -1.26504  -1.28027  -1.29554  -1.31085  -1.32622  -1.34164  -1.35710  -1.37261  -1.38817  -1.40377  -1.41942  -1.43512  -1.45087
 134.75443    0.46084   0.46084   0.46084   0.46084   0.46083   0.46082   0.46079   0.46073   0.46062   0.46047   0.46024   0.45993   0.45953   0.45902   0.45840   0.45765   0.45678   0.45577   0.45462   0.45333   0.45189   0.45031   0.44858   0.44670   0.44466   0.44249   0.44016   0.43768   0.43506   0.43229   0.42937   0.42632   0.42312   0.41978   0.41630   0.41268   0.40893   0.40504   0.40103   0.39688   0.39260   0.38819   0.38366   0.37900   0.37422   0.36932   0.36429   0.35915   0.35389   0.34851   0.34302   0.33741   0.33170   0.32586   0.31992   0.31387   0.30772   0.30145   0.29508   0.28860   0.28202   0.27534   0.26855   0.26166   0.25468   0.24759   0.24041   0.23312   0.22574   0.21827   0.21070   0.20303   0.19528   0.18742   0.17948   0.17145   0.16332   0.15511   0.14680   0.13841   0.12993   0.12136   0.11271   0.10397   0.09514   0.08623   0.07724   0.06816   0.05900   0.04976   0.04043   0.03103   0.02154   0.01197   0.00232  -0.00740  -0.01721  -0.02709  -0.03705  -0.04709  -0.05720  -0.06739  -0.07766  -0.08800  -0.09841  -0.10890  -0.11947  -0.13011  -0.14082  -0.15160  -0.16245  -0.17338  -0.18438  -0.19545  -0.20658  -0.21779  -0.22907  -0.24042  -0.25184  -0.26332  -0.27487  -0.28650  -0.29818  -0.30994  -0.32176  -0.33365  -0.34560  -0.35762  -0.36970  -0.38185  -0.39407  -0.40634  -0.41868  -0.43109  -0.44356  -0.45609  -0.46868  -0.48133  -0.49405  -0.50683  -0.51967  -0.53257  -0.54553  -0.55855  -0.57163  -0.58477  -0.59797  -0.61123  -0.62454  -0.63792  -0.65135  -0.66485  -0.67840  -0.69200  -0.70567  -0.71939  -0.73316  -0.74700  -0.76089  -0.77483  -0.78883  -0.80289  -0.81700  -0.83116  -0.84538  -0.85966  -0.87399  -0.88837  -0.90280  -0.91729  -0.93183  -0.94642  -0.96107  -0.97577  -0.99052  -1.00532  -1.02017  -1.03508  -1.05003  -1.06504  -1.08010  -1.09521  -1.11037  -1.12557  -1.14083  -1.15614  -1.17149  -1.18690  -1.20236  -1.21786  -1.23341  -1.24901  -1.26466  -1.28036  -1.29610  -1.31189  -1.32773  -1.34362  -1.35955  -1.37553
 138.71755    0.61520   0.61520   0.61519   0.61519   0.61519   0.61517   0.61513   0.61507   0.61496   0.61480   0.61456   0.61423   0.61380   0.61327   0.61260   0.61181   0.61088   0.60981   0.60859   0.60722   0.60570   0.60402   0.60218   0.60019   0.59805   0.59575   0.59329   0.59068   0.58792   0.58501   0.58194   0.57873   0.57538   0.57188   0.56823   0.56445   0.56052   0.55646   0.55227   0.54794   0.54348   0.53888   0.53416   0.52931   0.52434   0.51924   0.51402   0.50868   0.50322   0.49764   0.49195   0.48613   0.48021   0.47417   0.46802   0.46176   0.45539   0.44891   0.44233   0.43563   0.42884   0.42194   0.41493   0.40783   0.40062   0.39331   0.38591   0.37840   0.37080   0.36310   0.35531   0.34742   0.33943   0.33135   0.32318   0.31492   0.30657   0.29813   0.28959   0.28097   0.27226   0.26346   0.25457   0.24560   0.23654   0.22740   0.21817   0.20886   0.19947   0.18999   0.18043   0.17079   0.16106   0.15126   0.14138   0.13141   0.12137   0.11125   0.10105   0.09078   0.08042   0.06999   0.05949   0.04891   0.03825   0.02752   0.01672   0.00584  -0.00511  -0.01614  -0.02723  -0.03840  -0.04964  -0.06095  -0.07233  -0.08379  -0.09531  -0.10690  -0.11856  -0.13029  -0.14208  -0.15395  -0.16588  -0.17788  -0.18995  -0.20208  -0.21428  -0.22654  -0.23887  -0.25127  -0.26373  -0.27625  -0.28884  -0.30149  -0.31420  -0.32698  -0.33982  -0.35272  -0.36569  -0.37871  -0.39180  -0.40495  -0.41816  -0.43143  -0.44475  -0.45814  -0.47159  -0.48510  -0.49867  -0.51229  -0.52597  -0.53972  -0.55351  -0.56737  -0.58128  -0.59526  -0.60928  -0.62337  -0.63751  -0.65170  -0.66595  -0.68026  -0.69462  -0.70904  -0.72351  -0.73803  -0.75261  -0.76724  -0.78193  -0.79667  -0.81146  -0.82631  -0.84120  -0.85615  -0.87116  -0.88621  -0.90132  -0.91647  -0.93168  -0.94694  -0.96225  -0.97761  -0.99302  -1.00848  -1.02400  -1.03956  -1.05517  -1.07082  -1.08653  -1.10229  -1.11809  -1.13395  -1.14985  -1.16580  -1.18180  -1.19784  -1.21394  -1.23008  -1.24626  -1.26250
 142.75761    0.80705   0.80705   0.80705   0.80705   0.80704   0.80702   0.80698   0.80691   0.80679   0.80661   0.80634   0.80598   0.80551   0.80492   0.80420   0.80334   0.80233   0.80117   0.79985   0.79837   0.79672   0.79492   0.79295   0.79082   0.78853   0.78607   0.78345   0.78068   0.77774   0.77465   0.77141   0.76801   0.76447   0.76077   0.75693   0.75295   0.74882   0.74455   0.74015   0.73561   0.73093   0.72612   0.72118   0.71611   0.71092   0.70559   0.70015   0.69458   0.68889   0.68308   0.67715   0.67110   0.66494   0.65867   0.65228   0.64578   0.63917   0.63245   0.62562   0.61869   0.61165   0.60450   0.59725   0.58990   0.58245   0.57489   0.56724   0.55948   0.55163   0.54368   0.53563   0.52749   0.51925   0.51092   0.50250   0.49398   0.48538   0.47668   0.46789   0.45901   0.45004   0.44098   0.43184   0.42261   0.41329   0.40389   0.39440   0.38483   0.37518   0.36544   0.35562   0.34572   0.33573   0.32567   0.31552   0.30529   0.29499   0.28461   0.27414   0.26360   0.25299   0.24229   0.23152   0.22068   0.20976   0.19876   0.18769   0.17655   0.16533   0.15404   0.14268   0.13124   0.11973   0.10815   0.09651   0.08479   0.07300   0.06114   0.04921   0.03721   0.02514   0.01301   0.00081  -0.01146  -0.02380  -0.03620  -0.04867  -0.06120  -0.07380  -0.08647  -0.09920  -0.11199  -0.12485  -0.13777  -0.15076  -0.16381  -0.17692  -0.19009  -0.20333  -0.21662  -0.22998  -0.24340  -0.25689  -0.27043  -0.28403  -0.29769  -0.31141  -0.32519  -0.33903  -0.35293  -0.36689  -0.38090  -0.39497  -0.40910  -0.42329  -0.43754  -0.45184  -0.46620  -0.48061  -0.49508  -0.50960  -0.52419  -0.53882  -0.55351  -0.56826  -0.58306  -0.59791  -0.61282  -0.62778  -0.64280  -0.65787  -0.67299  -0.68816  -0.70339  -0.71866  -0.73399  -0.74938  -0.76481  -0.78029  -0.79583  -0.81142  -0.82705  -0.84274  -0.85848  -0.87427  -0.89010  -0.90599  -0.92192  -0.93791  -0.95394  -0.97003  -0.98616  -1.00234  -1.01856  -1.03484  -1.05116  -1.06753  -1.08395  -1.10041  -1.11692

# Fitted data
 119.65668    0.31550   0.31550   0.31550   0.31549   0.31547   0.31544   0.31537   0.31525   0.31507   0.31483   0.31450   0.31409   0.31357   0.31296   0.31223   0.31140   0.31044   0.30937   0.30817   0.30685   0.30540   0.30383   0.30212   0.30029   0.29833   0.29624   0.29402   0.29167   0.28919   0.28658   0.28385   0.28099   0.27800   0.27489   0.27165   0.26829   0.26481   0.26121   0.25748   0.25364   0.24968   0.24560   0.24141   0.23710   0.23268   0.22814   0.22350   0.21874   0.21387   0.20890   0.20381   0.19862   0.19332   0.18792   0.18241   0.17680   0.17109   0.16528   0.15936   0.15335   0.14724   0.14103   0.13472   0.12831   0.12181   0.11522   0.10853   0.10174   0.09487   0.08790   0.08084   0.07369   0.06644   0.05911   0.05169   0.04419   0.03659   0.02891   0.02114   0.01329   0.00535  -0.00268  -0.01078  -0.01898  -0.02725  -0.03561  -0.04404  -0.05256  -0.06116  -0.06984  -0.07860  -0.08744  -0.09636  -0.10536  -0.11443  -0.12358  -0.13281  -0.14211  -0.15149  -0.16095  -0.17048  -0.18008  -0.18976  -0.19951  -0.20933  -0.21923  -0.22920  -0.23924  -0.24936  -0.25954  -0.26980  -0.28012  -0.29051  -0.30098  -0.31151  -0.32211  -0.33278  -0.34352  -0.35433  -0.36520  -0.37614  -0.38715  -0.39822  -0.40936  -0.42056  -0.43183  -0.44316  -0.45456  -0.46602  -0.47755  -0.48914  -0.50079  -0.51250  -0.52428  -0.53612  -0.54802  -0.55998  -0.57201  -0.58409  -0.59624  -0.60844  -0.62071  -0.63303  -0.64542  -0.65786  -0.67036  -0.68292  -0.69554  -0.70822  -0.72095  -0.73375  -0.74660  -0.75950  -0.77246  -0.78548  -0.79856  -0.81169  -0.82488  -0.83812  -0.85141  -0.86477  -0.87817  -0.89163  -0.90515  -0.91871  -0.93234  -0.94601  -0.95974  -0.97352  -0.98735  -1.00124  -1.01518  -1.02917  -1.04321  -1.05730  -1.07145  -1.08564  -1.09989  -1.11418  -1.12853  -1.14293  -1.15737  -1.17187  -1.18642  -1.20101  -1.21566  -1.23035  -1.24509  -1.25988  -1.27472  -1.28961  -1.30454  -1.31953  -1.33456  -1.34963  -1.36476  -1.37993  -1.39515  -1.41041  -1.42572
