# Volume points
 118.28673    0.32502   0.30456   0.20707   0.04024  -0.18289  -0.45356  -0.76539  -1.11342
 121.90750    0.28369   0.26438   0.16690  -0.00107  -0.22585  -0.49846  -0.81240  -1.16268
 125.60142    0.29686   0.27776   0.17850   0.00760  -0.22056  -0.49679  -0.81450  -1.16864
 129.36921    0.36008   0.34084   0.23937   0.06526  -0.16649  -0.44648  -0.76807  -1.12615
 133.21162    0.46711   0.44723   0.34254   0.16422  -0.07206  -0.35674  -0.68311  -1.04603
 137.12936    0.61340   0.59228   0.48309   0.29932   0.05727  -0.23331  -0.56566  -0.93463
 141.12317    0.79573   0.77282   0.65824   0.46817   0.21955  -0.07774  -0.41687  -0.79267

# Fitted data
 118.28673    0.32503   0.30461   0.20719   0.04045  -0.18260  -0.45319  -0.76494  -1.11289
 118.40091    0.32280   0.30242   0.20501   0.03823  -0.18486  -0.45551  -0.76733  -1.11535
 118.51509    0.32064   0.30030   0.20289   0.03608  -0.18707  -0.45778  -0.76966  -1.11776
 118.62927    0.31853   0.29823   0.20084   0.03399  -0.18921  -0.45999  -0.77194  -1.12011
 118.74345    0.31649   0.29623   0.19884   0.03196  -0.19130  -0.46214  -0.77416  -1.12240
 118.85764    0.31452   0.29430   0.19690   0.02998  -0.19333  -0.46423  -0.77632  -1.12464
 118.97182    0.31260   0.29242   0.19503   0.02807  -0.19529  -0.46626  -0.77842  -1.12682
 119.08600    0.31075   0.29060   0.19321   0.02621  -0.19720  -0.46823  -0.78047  -1.12894
 119.20018    0.30896   0.28884   0.19145   0.02442  -0.19906  -0.47015  -0.78246  -1.13101
 119.31437    0.30722   0.28715   0.18975   0.02268  -0.20085  -0.47202  -0.78439  -1.13302
 119.42855    0.30555   0.28551   0.18812   0.02100  -0.20259  -0.47382  -0.78627  -1.13498
 119.54273    0.30394   0.28394   0.18653   0.01938  -0.20427  -0.47557  -0.78810  -1.13688
 119.65691    0.30239   0.28242   0.18501   0.01781  -0.20590  -0.47726  -0.78986  -1.13872
 119.77109    0.30090   0.28096   0.18355   0.01630  -0.20747  -0.47890  -0.79158  -1.14052
 119.88528    0.29947   0.27956   0.18214   0.01485  -0.20898  -0.48049  -0.79324  -1.14226
 119.99946    0.29809   0.27822   0.18079   0.01346  -0.21043  -0.48201  -0.79484  -1.14394
 120.11364    0.29678   0.27694   0.17950   0.01212  -0.21184  -0.48349  -0.79639  -1.14558
 120.22782    0.29552   0.27571   0.17826   0.01084  -0.21318  -0.48491  -0.79789  -1.14716
 120.34201    0.29432   0.27454   0.17708   0.00961  -0.21448  -0.48627  -0.79934  -1.14868
 120.45619    0.29318   0.27343   0.17596   0.00844  -0.21571  -0.48758  -0.80073  -1.15016
 120.57037    0.29210   0.27238   0.17489   0.00732  -0.21690  -0.48884  -0.80207  -1.15158
 120.68455    0.29107   0.27138   0.17388   0.00626  -0.21803  -0.49005  -0.80335  -1.15295
 120.79873    0.29011   0.27044   0.17293   0.00525  -0.21910  -0.49120  -0.80459  -1.15427
 120.91292    0.28919   0.26955   0.17202   0.00429  -0.22013  -0.49230  -0.80577  -1.15554
 121.02710    0.28834   0.26872   0.17118   0.00339  -0.22110  -0.49335  -0.80690  -1.15676
 121.14128    0.28754   0.26795   0.17039   0.00254  -0.22201  -0.49434  -0.80798  -1.15793
 121.25546    0.28679   0.26723   0.16965   0.00175  -0.22288  -0.49529  -0.80901  -1.15904
 121.36965    0.28610   0.26657   0.16896   0.00101  -0.22369  -0.49618  -0.80999  -1.16011
 121.48383    0.28547   0.26596   0.16833   0.00032  -0.22445  -0.49702  -0.81092  -1.16113
 121.59801    0.28489   0.26540   0.16775  -0.00032  -0.22516  -0.49781  -0.81179  -1.16210
 121.71219    0.28436   0.26490   0.16723  -0.00090  -0.22582  -0.49855  -0.81262  -1.16302
 121.82637    0.28389   0.26445   0.16676  -0.00143  -0.22643  -0.49925  -0.81340  -1.16389
 121.94056    0.28348   0.26405   0.16634  -0.00191  -0.22698  -0.49989  -0.81413  -1.16471
 122.05474    0.28311   0.26371   0.16597  -0.00234  -0.22749  -0.50048  -0.81481  -1.16548
 122.16892    0.28281   0.26342   0.16565  -0.00272  -0.22795  -0.50102  -0.81544  -1.16621
 122.28310    0.28255   0.26319   0.16539  -0.00305  -0.22835  -0.50151  -0.81603  -1.16688
 122.39729    0.28235   0.26300   0.16517  -0.00333  -0.22871  -0.50195  -0.81656  -1.16751
 122.51147    0.28219   0.26287   0.16501  -0.00356  -0.22902  -0.50235  -0.81705  -1.16810
 122.62565    0.28210   0.26279   0.16490  -0.00373  -0.22928  -0.50270  -0.81749  -1.16863
 122.73983    0.28205   0.26276   0.16484  -0.00386  -0.22949  -0.50299  -0.81788  -1.16912
 122.85401    0.28205   0.26278   0.16483  -0.00394  -0.22965  -0.50325  -0.81822  -1.16956
 122.96820    0.28211   0.26286   0.16487  -0.00397  -0.22976  -0.50345  -0.81852  -1.16996
 123.08238    0.28222   0.26298   0.16496  -0.00395  -0.22983  -0.50361  -0.81878  -1.17031
 123.19656    0.28238   0.26316   0.16509  -0.00388  -0.22984  -0.50371  -0.81898  -1.17062
 123.31074    0.28259   0.26338   0.16528  -0.00377  -0.22981  -0.50378  -0.81914  -1.17088
 123.42493    0.28285   0.26365   0.16552  -0.00361  -0.22973  -0.50379  -0.81925  -1.17109
 123.53911    0.28316   0.26398   0.16580  -0.00339  -0.22961  -0.50376  -0.81932  -1.17126
 123.65329    0.28352   0.26435   0.16613  -0.00314  -0.22944  -0.50369  -0.81935  -1.17139
 123.76747    0.28393   0.26477   0.16652  -0.00283  -0.22922  -0.50356  -0.81932  -1.17147
 123.88165    0.28439   0.26524   0.16695  -0.00248  -0.22896  -0.50340  -0.81926  -1.17151
 123.99584    0.28489   0.26576   0.16742  -0.00208  -0.22865  -0.50319  -0.81915  -1.17150
 124.11002    0.28545   0.26633   0.16795  -0.00163  -0.22829  -0.50293  -0.81899  -1.17145
 124.22420    0.28606   0.26695   0.16852  -0.00114  -0.22789  -0.50263  -0.81879  -1.17136
 124.33838    0.28671   0.26761   0.16914  -0.00060  -0.22745  -0.50228  -0.81855  -1.17122
 124.45257    0.28741   0.26832   0.16980  -0.00001  -0.22696  -0.50189  -0.81826  -1.17104
 124.56675    0.28816   0.26908   0.17051   0.00062  -0.22642  -0.50145  -0.81793  -1.17082
 124.68093    0.28896   0.26989   0.17127   0.00129  -0.22584  -0.50098  -0.81756  -1.17055
 124.79511    0.28981   0.27074   0.17207   0.00201  -0.22522  -0.50045  -0.81715  -1.17025
 124.90929    0.29070   0.27164   0.17292   0.00278  -0.22455  -0.49989  -0.81669  -1.16990
