idx,ratio,init_sgn,sgn,energy,volume,natom,a,b,c,alpha,beta,gamma,force_conv,steps,opt_conv
post-0,167,167,-279.32696533203125,317.19289708999366,30,4.765105624821779,4.76510562482178,16.1304973559113,90.0,90.0,119.99999999999999,True,60,True
post-1,167,167,-280.35528564453125,327.315322933153,30,4.81526463139885,4.815264631398848,16.300292064920892,90.0,90.0,120.00000000000001,True,136,True
post-2,167,167,-281.1055603027344,337.65084468968143,30,4.865423637975922,4.86542363797592,16.470086773930486,90.0,90.0,120.00000000000001,True,80,True
post-3,167,167,-281.6116638183594,348.2016821086744,30,4.915582644552991,4.915582644552991,16.639881482940076,90.0,90.0,119.99999999999999,True,67,True
post-4,167,167,-281.89910888671875,358.9700549392316,30,4.965741651130065,4.965741651130066,16.80967619194967,90.0,90.0,119.99999999999999,True,70,True
post-5,167,167,-281.9898681640625,369.95818293044886,30,5.015900657707136,5.015900657707136,16.979470900959264,90.0,90.0,119.99999999999999,True,0,True
post-6,167,167,-281.90625,381.1682858314245,30,5.066059664284208,5.066059664284208,17.149265609968857,90.0,90.0,120.00000000000001,True,65,True
post-7,167,167,-281.6673583984375,392.60258339125585,30,5.116218670861279,5.1162186708612785,17.319060318978448,90.0,90.0,120.00000000000001,True,144,True
post-8,167,167,-281.2899169921875,404.26329535904017,30,5.166377677438349,5.166377677438349,17.488855027988038,90.0,90.0,120.00000000000001,True,94,True
post-9,167,167,-280.7886962890625,416.15264148387604,30,5.216536684015421,5.21653668401542,17.65864973699763,90.0,90.0,120.00000000000001,True,54,True
post-10,167,167,-280.1769714355469,428.27284151486106,30,5.266695690592493,5.266695690592493,17.82844444600723,90.0,90.0,119.99999999999999,True,63,True
