temperature,cte
0.000000000000000,0.0
2.000000000000000,4.4458544e-08
4.000000000000000,4.8214462e-08
6.000000000000000,4.6491619e-08
8.000000000000000,2.6573754e-08
10.000000000000000,-3.2439827e-08
12.000000000000000,-1.51588967e-07
14.000000000000000,-3.42685255e-07
16.000000000000000,-6.06775007e-07
18.000000000000000,-9.37462333e-07
20.000000000000000,-1.322492532e-06
22.000000000000000,-1.746661431e-06
24.000000000000000,-2.194669342e-06
26.000000000000000,-2.651521297e-06
28.000000000000000,-3.104269884e-06
30.000000000000000,-3.541873102e-06
32.000000000000000,-3.955176811e-06
34.000000000000000,-4.337389233e-06
36.000000000000000,-4.682928255e-06
38.000000000000000,-4.988420305e-06
40.000000000000000,-5.251103775e-06
42.000000000000000,-5.469590266e-06
44.000000000000000,-5.643791496e-06
46.000000000000000,-5.773721044e-06
48.000000000000000,-5.860671244e-06
50.000000000000000,-5.905918134e-06
52.000000000000000,-5.911326773e-06
54.000000000000000,-5.87957117e-06
56.000000000000000,-5.812541326e-06
58.000000000000000,-5.712748771e-06
60.000000000000000,-5.583146958e-06
62.000000000000000,-5.426338075e-06
64.000000000000000,-5.244448968e-06
66.000000000000000,-5.040673386e-06
68.000000000000000,-4.817217014e-06
70.000000000000000,-4.575591214e-06
72.000000000000000,-4.318717394e-06
74.000000000000000,-4.049007572e-06
76.000000000000000,-3.767900866e-06
78.000000000000000,-3.476887926e-06
80.000000000000000,-3.178219567e-06
82.000000000000000,-2.87311262e-06
84.000000000000000,-2.563084755e-06
86.000000000000000,-2.248913573e-06
88.000000000000000,-1.932118447e-06
90.000000000000000,-1.614389099e-06
92.000000000000000,-1.295101395e-06
94.000000000000000,-9.76010347e-07
96.000000000000000,-6.58562882e-07
98.000000000000000,-3.41908692e-07
100.000000000000000,-2.7440976e-08
102.000000000000000,2.84671626e-07
104.000000000000000,5.94057479e-07
106.000000000000000,8.9970548e-07
108.000000000000000,1.201473852e-06
110.000000000000000,1.499265046e-06
112.000000000000000,1.794141888e-06
114.000000000000000,2.084341954e-06
116.000000000000000,2.369238374e-06
118.000000000000000,2.649597139e-06
120.000000000000000,2.925668856e-06
122.000000000000000,3.197418232e-06
124.000000000000000,3.463902232e-06
126.000000000000000,3.725669512e-06
128.000000000000000,3.982840656e-06
130.000000000000000,4.234679974e-06
132.000000000000000,4.482144155e-06
134.000000000000000,4.725080954e-06
136.000000000000000,4.962460655e-06
138.000000000000000,5.195932891e-06
140.000000000000000,5.424690189e-06
142.000000000000000,5.648560853e-06
144.000000000000000,5.868055539e-06
146.000000000000000,6.08342348e-06
148.000000000000000,6.294587461e-06
150.000000000000000,6.501018023e-06
152.000000000000000,6.702826875e-06
154.000000000000000,6.901318333e-06
156.000000000000000,7.095905584e-06
158.000000000000000,7.28590303e-06
160.000000000000000,7.472563376e-06
162.000000000000000,7.655621192e-06
164.000000000000000,7.835145335e-06
166.000000000000000,8.010298036e-06
168.000000000000000,8.181836527e-06
170.000000000000000,8.350842939e-06
172.000000000000000,8.516550026e-06
174.000000000000000,8.677833241e-06
176.000000000000000,8.836895881e-06
178.000000000000000,8.993179178e-06
180.000000000000000,9.145771426e-06
182.000000000000000,9.295915498e-06
184.000000000000000,9.442998498e-06
186.000000000000000,9.586706052e-06
188.000000000000000,9.728397538e-06
190.000000000000000,9.867083645e-06
192.000000000000000,1.0003352962e-05
194.000000000000000,1.0137481971e-05
196.000000000000000,1.0268823309e-05
198.000000000000000,1.0397623491e-05
200.000000000000000,1.0523813291e-05
202.000000000000000,1.0648559529e-05
204.000000000000000,1.0770443936e-05
206.000000000000000,1.0890821874e-05
208.000000000000000,1.1008849595e-05
210.000000000000000,1.1124178375e-05
212.000000000000000,1.123788617e-05
214.000000000000000,1.1350816026e-05
216.000000000000000,1.1461080703e-05
218.000000000000000,1.1568624313e-05
220.000000000000000,1.167537627e-05
222.000000000000000,1.1780104388e-05
224.000000000000000,1.1883355712e-05
226.000000000000000,1.1984615822e-05
228.000000000000000,1.2084672672e-05
230.000000000000000,1.2183456046e-05
232.000000000000000,1.2279948303e-05
234.000000000000000,1.2374619937e-05
236.000000000000000,1.2468850379e-05
238.000000000000000,1.2561724665e-05
240.000000000000000,1.2652570911e-05
242.000000000000000,1.2741858281e-05
244.000000000000000,1.2830361096e-05
246.000000000000000,1.2917832086e-05
248.000000000000000,1.3003825016e-05
250.000000000000000,1.308881329e-05
252.000000000000000,1.3171944141e-05
254.000000000000000,1.3254439557e-05
256.000000000000000,1.3336068407e-05
258.000000000000000,1.3416062915e-05
260.000000000000000,1.3495178826e-05
262.000000000000000,1.3573050875e-05
264.000000000000000,1.3650221833e-05
266.000000000000000,1.3726595489e-05
268.000000000000000,1.3801584293e-05
270.000000000000000,1.3875848418e-05
272.000000000000000,1.3949398718e-05
274.000000000000000,1.4021620217e-05
276.000000000000000,1.4092971794e-05
278.000000000000000,1.4163253392e-05
280.000000000000000,1.4233248437e-05
282.000000000000000,1.4303188258e-05
284.000000000000000,1.437102302e-05
286.000000000000000,1.4438286514e-05
288.000000000000000,1.4505140658e-05
290.000000000000000,1.4570573826e-05
292.000000000000000,1.4635851803e-05
294.000000000000000,1.4700504712e-05
296.000000000000000,1.4764234112e-05
298.000000000000000,1.4827420808e-05
300.000000000000000,1.4889867509e-05
302.000000000000000,1.4952115358e-05
304.000000000000000,1.5013427023e-05
306.000000000000000,1.507317841e-05
308.000000000000000,1.5133277191e-05
310.000000000000000,1.5193305927e-05
312.000000000000000,1.5251801326e-05
314.000000000000000,1.5309135814e-05
316.000000000000000,1.5367301561e-05
318.000000000000000,1.5425493772e-05
320.000000000000000,1.548117377e-05
322.000000000000000,1.5537034679e-05
324.000000000000000,1.559264374e-05
326.000000000000000,1.5647630572e-05
328.000000000000000,1.5702304416e-05
330.000000000000000,1.5756491334e-05
332.000000000000000,1.5810493284e-05
334.000000000000000,1.5863423611e-05
336.000000000000000,1.5915809069e-05
338.000000000000000,1.5967927129e-05
340.000000000000000,1.6020254275e-05
342.000000000000000,1.6071455752e-05
344.000000000000000,1.6122165824e-05
346.000000000000000,1.6172881294e-05
348.000000000000000,1.6222468324e-05
350.000000000000000,1.6272791231e-05
352.000000000000000,1.6322499028e-05
354.000000000000000,1.6371397678e-05
356.000000000000000,1.6420483956e-05
358.000000000000000,1.6468091773e-05
360.000000000000000,1.651548848e-05
362.000000000000000,1.6563558146e-05
