      Step     Time          Energy          fmax
FIRE:    0 05:24:11     -231.748428        0.705114
FIRE:    1 05:24:11     -231.806549        0.214907
FIRE:    2 05:24:11     -231.791534        0.390207
FIRE:    3 05:24:11     -231.797806        0.327684
FIRE:    4 05:24:11     -231.806549        0.211695
FIRE:    5 05:24:11     -231.812256        0.059568
FIRE:    6 05:24:11     -231.811234        0.104833
FIRE:    7 05:24:12     -231.811371        0.100444
FIRE:    8 05:24:12     -231.811584        0.091851
FIRE:    9 05:24:12     -231.811874        0.079428
FIRE:   10 05:24:12     -231.812164        0.063703
FIRE:   11 05:24:12     -231.812424        0.045353
FIRE:   12 05:24:12     -231.812653        0.025151
FIRE:   13 05:24:12     -231.812714        0.003944
FIRE:   14 05:24:12     -231.812668        0.019529
FIRE:   15 05:24:13     -231.812653        0.019284
FIRE:   16 05:24:13     -231.812668        0.018795
FIRE:   17 05:24:13     -231.812668        0.018073
FIRE:   18 05:24:13     -231.812698        0.017124
FIRE:   19 05:24:13     -231.812683        0.015966
FIRE:   20 05:24:13     -231.812683        0.014608
FIRE:   21 05:24:13     -231.812698        0.013058
FIRE:   22 05:24:13     -231.812698        0.011160
FIRE:   23 05:24:13     -231.812714        0.008869
FIRE:   24 05:24:13     -231.812729        0.006153
FIRE:   25 05:24:14     -231.812729        0.002991
FIRE:   26 05:24:14     -231.812714        0.000582
FIRE:   27 05:24:14     -231.812714        0.000574
FIRE:   28 05:24:14     -231.812714        0.000567
FIRE:   29 05:24:14     -231.812714        0.000556
FIRE:   30 05:24:14     -231.812714        0.000538
FIRE:   31 05:24:14     -231.812714        0.000513
FIRE:   32 05:24:14     -231.812714        0.000486
FIRE:   33 05:24:14     -231.812729        0.000455
FIRE:   34 05:24:15     -231.812729        0.000419
FIRE:   35 05:24:15     -231.812744        0.000368
FIRE:   36 05:24:15     -231.812729        0.000307
FIRE:   37 05:24:15     -231.812744        0.000245
FIRE:   38 05:24:15     -231.812729        0.000165
FIRE:   39 05:24:15     -231.812729        0.000068
FIRE:   40 05:24:15     -231.812744        0.000035
FIRE:   41 05:24:15     -231.812744        0.000034
FIRE:   42 05:24:15     -231.812744        0.000034
FIRE:   43 05:24:16     -231.812744        0.000034
FIRE:   44 05:24:16     -231.812744        0.000035
FIRE:   45 05:24:16     -231.812744        0.000027
FIRE:   46 05:24:16     -231.812744        0.000028
FIRE:   47 05:24:16     -231.812744        0.000026
FIRE:   48 05:24:16     -231.812744        0.000026
FIRE:   49 05:24:16     -231.812744        0.000024
FIRE:   50 05:24:16     -231.812744        0.000018
FIRE:   51 05:24:16     -231.812744        0.000018
FIRE:   52 05:24:17     -231.812744        0.000009
FIRE:   53 05:24:17     -231.812744        0.000009
FIRE:   54 05:24:17     -231.812744        0.000000
