# Volume points
 119.65668    0.31566   0.29642   0.20407   0.04454  -0.17003  -0.43129  -0.73310  -1.07070
 123.31939    0.26903   0.25098   0.15858  -0.00234  -0.21888  -0.48246  -0.78681  -1.12709
 127.05610    0.28285   0.26549   0.17236   0.00954  -0.20942  -0.47568  -0.78290  -1.12618
 130.86753    0.34846   0.33082   0.23501   0.06828  -0.15508  -0.42600  -0.73805  -1.08625
 134.75443    0.46084   0.44249   0.34302   0.17145  -0.05720  -0.33365  -0.65135  -1.00532
 138.71755    0.61520   0.59575   0.49195   0.31492   0.08042  -0.20208  -0.52597  -0.88621
 142.75761    0.80705   0.78607   0.67715   0.49398   0.25299  -0.03620  -0.36689  -0.73399

# Fitted data
 119.65668    0.31550   0.29624   0.20381   0.04419  -0.17048  -0.43183  -0.73375  -1.07145
 119.77219    0.31305   0.29385   0.20146   0.04182  -0.17286  -0.43425  -0.73621  -1.07396
 119.88769    0.31068   0.29152   0.19917   0.03953  -0.17519  -0.43662  -0.73862  -1.07642
 120.00320    0.30837   0.28927   0.19694   0.03729  -0.17745  -0.43892  -0.74098  -1.07883
 120.11870    0.30613   0.28708   0.19478   0.03512  -0.17965  -0.44117  -0.74327  -1.08117
 120.23421    0.30396   0.28496   0.19269   0.03301  -0.18180  -0.44335  -0.74550  -1.08347
 120.34971    0.30185   0.28290   0.19066   0.03097  -0.18388  -0.44548  -0.74768  -1.08570
 120.46522    0.29981   0.28091   0.18869   0.02898  -0.18590  -0.44754  -0.74980  -1.08788
 120.58072    0.29783   0.27898   0.18678   0.02706  -0.18786  -0.44955  -0.75186  -1.09000
 120.69623    0.29593   0.27712   0.18494   0.02520  -0.18976  -0.45150  -0.75387  -1.09207
 120.81173    0.29408   0.27533   0.18316   0.02340  -0.19160  -0.45339  -0.75582  -1.09408
 120.92724    0.29230   0.27359   0.18145   0.02166  -0.19338  -0.45523  -0.75771  -1.09604
 121.04274    0.29059   0.27192   0.17979   0.01998  -0.19510  -0.45700  -0.75955  -1.09794
 121.15825    0.28894   0.27032   0.17820   0.01836  -0.19676  -0.45872  -0.76133  -1.09979
 121.27375    0.28736   0.26878   0.17667   0.01680  -0.19837  -0.46038  -0.76306  -1.10159
 121.38925    0.28583   0.26730   0.17520   0.01530  -0.19992  -0.46199  -0.76473  -1.10333
 121.50476    0.28437   0.26588   0.17379   0.01386  -0.20141  -0.46354  -0.76635  -1.10502
 121.62026    0.28298   0.26452   0.17244   0.01248  -0.20284  -0.46503  -0.76791  -1.10665
 121.73577    0.28165   0.26323   0.17116   0.01116  -0.20422  -0.46647  -0.76942  -1.10823
 121.85127    0.28037   0.26199   0.16993   0.00989  -0.20553  -0.46786  -0.77087  -1.10976
 121.96678    0.27917   0.26082   0.16876   0.00869  -0.20680  -0.46918  -0.77227  -1.11124
 122.08228    0.27802   0.25971   0.16765   0.00754  -0.20800  -0.47046  -0.77362  -1.11266
 122.19779    0.27693   0.25866   0.16660   0.00645  -0.20915  -0.47168  -0.77491  -1.11404
 122.31329    0.27591   0.25767   0.16560   0.00541  -0.21025  -0.47284  -0.77615  -1.11536
 122.42880    0.27494   0.25674   0.16467   0.00443  -0.21129  -0.47395  -0.77734  -1.11663
 122.54430    0.27404   0.25587   0.16379   0.00351  -0.21227  -0.47501  -0.77848  -1.11785
 122.65981    0.27319   0.25506   0.16297   0.00265  -0.21320  -0.47601  -0.77956  -1.11902
 122.77531    0.27241   0.25430   0.16221   0.00184  -0.21408  -0.47696  -0.78060  -1.12014
 122.89082    0.27168   0.25361   0.16151   0.00108  -0.21490  -0.47786  -0.78158  -1.12121
 123.00632    0.27102   0.25297   0.16086   0.00038  -0.21566  -0.47871  -0.78251  -1.12222
 123.12182    0.27041   0.25239   0.16027  -0.00026  -0.21638  -0.47950  -0.78338  -1.12319
 123.23733    0.26986   0.25187   0.15973  -0.00085  -0.21704  -0.48024  -0.78421  -1.12411
 123.35283    0.26937   0.25141   0.15925  -0.00138  -0.21764  -0.48093  -0.78499  -1.12498
 123.46834    0.26893   0.25100   0.15883  -0.00186  -0.21820  -0.48157  -0.78572  -1.12580
 123.58384    0.26855   0.25065   0.15846  -0.00229  -0.21870  -0.48215  -0.78639  -1.12657
 123.69935    0.26824   0.25035   0.15814  -0.00266  -0.21915  -0.48269  -0.78702  -1.12730
 123.81485    0.26797   0.25012   0.15789  -0.00298  -0.21955  -0.48317  -0.78760  -1.12797
 123.93036    0.26777   0.24993   0.15768  -0.00325  -0.21989  -0.48361  -0.78813  -1.12860
 124.04586    0.26762   0.24981   0.15753  -0.00347  -0.22019  -0.48399  -0.78861  -1.12918
 124.16137    0.26752   0.24973   0.15743  -0.00363  -0.22043  -0.48433  -0.78904  -1.12971
 124.27687    0.26748   0.24972   0.15739  -0.00374  -0.22062  -0.48461  -0.78942  -1.13019
 124.39238    0.26750   0.24975   0.15740  -0.00380  -0.22077  -0.48484  -0.78975  -1.13063
 124.50788    0.26757   0.24985   0.15746  -0.00380  -0.22086  -0.48503  -0.79004  -1.13102
 124.62338    0.26770   0.24999   0.15757  -0.00376  -0.22090  -0.48517  -0.79028  -1.13137
 124.73889    0.26788   0.25019   0.15774  -0.00366  -0.22089  -0.48526  -0.79047  -1.13166
 124.85439    0.26811   0.25044   0.15796  -0.00351  -0.22083  -0.48530  -0.79061  -1.13191
 124.96990    0.26840   0.25075   0.15823  -0.00332  -0.22073  -0.48529  -0.79071  -1.13212
 125.08540    0.26874   0.25111   0.15855  -0.00307  -0.22057  -0.48523  -0.79076  -1.13228
 125.20091    0.26914   0.25152   0.15892  -0.00277  -0.22036  -0.48513  -0.79076  -1.13239
 125.31641    0.26959   0.25198   0.15935  -0.00243  -0.22011  -0.48498  -0.79072  -1.13246
 125.43192    0.27009   0.25249   0.15982  -0.00203  -0.21981  -0.48478  -0.79063  -1.13249
 125.54742    0.27064   0.25306   0.16035  -0.00158  -0.21946  -0.48453  -0.79050  -1.13247
 125.66293    0.27124   0.25368   0.16093  -0.00109  -0.21906  -0.48424  -0.79032  -1.13240
 125.77843    0.27190   0.25435   0.16155  -0.00054  -0.21862  -0.48390  -0.79009  -1.13229
 125.89394    0.27261   0.25507   0.16223   0.00005  -0.21812  -0.48352  -0.78982  -1.13214
 126.00944    0.27337   0.25584   0.16295   0.00069  -0.21758  -0.48309  -0.78950  -1.13194
 126.12495    0.27418   0.25666   0.16372   0.00138  -0.21700  -0.48261  -0.78914  -1.13170
 126.24045    0.27504   0.25753   0.16455   0.00211  -0.21636  -0.48209  -0.78874  -1.13141
 126.35595    0.27595   0.25845   0.16542   0.00289  -0.21569  -0.48152  -0.78829  -1.13109
 126.47146    0.27692   0.25942   0.16634   0.00372  -0.21496  -0.48091  -0.78779  -1.13071
 126.58696    0.27793   0.26044   0.16730   0.00460  -0.21419  -0.48025  -0.78726  -1.13030
 126.70247    0.27899   0.26151   0.16832   0.00553  -0.21337  -0.47955  -0.78668  -1.12984
 126.81797    0.28010   0.26263   0.16938   0.00650  -0.21251  -0.47881  -0.78605  -1.12935
 126.93348    0.28126   0.26379   0.17049   0.00751  -0.21160  -0.47802  -0.78539  -1.12881
 127.04898    0.28247   0.26501   0.17165   0.00858  -0.21065  -0.47718  -0.78468  -1.12822
