# Volume points
  36.10104    0.24782   0.24434   0.22628   0.19301   0.14652   0.08894   0.02201  -0.05296  -0.13495  -0.22314
  38.40468    0.10322   0.10029   0.08305   0.04994   0.00319  -0.05485  -0.12238  -0.19802  -0.28072  -0.36968
  40.80430    0.05367   0.05091   0.03354  -0.00041  -0.04837  -0.10782  -0.17687  -0.25409  -0.33842  -0.42903
  43.30185    0.08247   0.07990   0.06249   0.02791  -0.02099  -0.08152  -0.15173  -0.23017  -0.31575  -0.40762
  45.89929    0.17843   0.17586   0.15783   0.12197   0.07152   0.00927  -0.06272  -0.14299  -0.23043  -0.32418

# Fitted data
  36.10104    0.24778   0.24431   0.22627   0.19302   0.14655   0.08900   0.02210  -0.05285  -0.13480  -0.22298
  36.15003    0.24353   0.24007   0.22205   0.18881   0.14234   0.08479   0.01787  -0.05708  -0.13905  -0.22724
  36.19902    0.23933   0.23588   0.21789   0.18466   0.13819   0.08063   0.01371  -0.06126  -0.14324  -0.23144
  36.24801    0.23518   0.23175   0.21379   0.18056   0.13409   0.07653   0.00959  -0.06539  -0.14738  -0.23559
  36.29700    0.23110   0.22768   0.20974   0.17652   0.13005   0.07247   0.00553  -0.06946  -0.15147  -0.23970
  36.34599    0.22706   0.22366   0.20574   0.17253   0.12606   0.06848   0.00152  -0.07348  -0.15550  -0.24374
  36.39498    0.22309   0.21970   0.20180   0.16860   0.12212   0.06453  -0.00243  -0.07745  -0.15948  -0.24774
  36.44398    0.21916   0.21579   0.19791   0.16472   0.11824   0.06064  -0.00634  -0.08136  -0.16341  -0.25168
  36.49297    0.21530   0.21194   0.19408   0.16089   0.11441   0.05680  -0.01019  -0.08523  -0.16729  -0.25558
  36.54196    0.21148   0.20813   0.19030   0.15711   0.11063   0.05301  -0.01399  -0.08904  -0.17112  -0.25942
  36.59095    0.20772   0.20439   0.18657   0.15339   0.10690   0.04928  -0.01773  -0.09280  -0.17490  -0.26321
  36.63994    0.20401   0.20069   0.18289   0.14972   0.10323   0.04559  -0.02143  -0.09651  -0.17862  -0.26695
  36.68893    0.20036   0.19705   0.17927   0.14611   0.09960   0.04196  -0.02507  -0.10017  -0.18230  -0.27064
  36.73792    0.19676   0.19346   0.17570   0.14254   0.09603   0.03838  -0.02867  -0.10378  -0.18592  -0.27428
  36.78691    0.19321   0.18992   0.17218   0.13902   0.09251   0.03485  -0.03221  -0.10734  -0.18949  -0.27788
  36.83591    0.18971   0.18644   0.16872   0.13556   0.08904   0.03137  -0.03571  -0.11085  -0.19302  -0.28142
  36.88490    0.18626   0.18300   0.16530   0.13215   0.08562   0.02794  -0.03915  -0.11431  -0.19650  -0.28491
  36.93389    0.18287   0.17962   0.16193   0.12878   0.08226   0.02456  -0.04254  -0.11772  -0.19992  -0.28836
  36.98288    0.17952   0.17629   0.15862   0.12547   0.07894   0.02123  -0.04589  -0.12108  -0.20330  -0.29175
  37.03187    0.17623   0.17301   0.15535   0.12221   0.07567   0.01795  -0.04919  -0.12439  -0.20663  -0.29510
  37.08086    0.17299   0.16978   0.15214   0.11900   0.07245   0.01472  -0.05243  -0.12765  -0.20991  -0.29840
  37.12985    0.16980   0.16660   0.14897   0.11583   0.06928   0.01153  -0.05563  -0.13087  -0.21315  -0.30165
  37.17884    0.16665   0.16346   0.14586   0.11272   0.06615   0.00840  -0.05878  -0.13404  -0.21633  -0.30486
  37.22784    0.16356   0.16038   0.14279   0.10965   0.06308   0.00531  -0.06189  -0.13716  -0.21947  -0.30802
  37.27683    0.16052   0.15735   0.13977   0.10663   0.06005   0.00227  -0.06494  -0.14023  -0.22256  -0.31113
  37.32582    0.15752   0.15436   0.13680   0.10366   0.05707  -0.00072  -0.06795  -0.14326  -0.22561  -0.31419
  37.37481    0.15458   0.15143   0.13388   0.10074   0.05414  -0.00367  -0.07091  -0.14624  -0.22861  -0.31721
  37.42380    0.15168   0.14854   0.13101   0.09787   0.05126  -0.00657  -0.07383  -0.14917  -0.23156  -0.32018
  37.47279    0.14883   0.14570   0.12818   0.09504   0.04842  -0.00942  -0.07669  -0.15206  -0.23447  -0.32311
  37.52178    0.14603   0.14291   0.12540   0.09226   0.04563  -0.01222  -0.07952  -0.15490  -0.23733  -0.32599
  37.57077    0.14327   0.14016   0.12267   0.08953   0.04289  -0.01498  -0.08229  -0.15769  -0.24014  -0.32883
  37.61977    0.14056   0.13747   0.11998   0.08684   0.04019  -0.01769  -0.08502  -0.16044  -0.24291  -0.33162
  37.66876    0.13790   0.13481   0.11734   0.08420   0.03754  -0.02036  -0.08771  -0.16315  -0.24564  -0.33436
  37.71775    0.13529   0.13221   0.11475   0.08160   0.03493  -0.02298  -0.09035  -0.16581  -0.24832  -0.33707
  37.76674    0.13272   0.12965   0.11220   0.07905   0.03237  -0.02556  -0.09294  -0.16842  -0.25095  -0.33972
  37.81573    0.13020   0.12714   0.10970   0.07655   0.02985  -0.02809  -0.09549  -0.17099  -0.25355  -0.34234
  37.86472    0.12772   0.12467   0.10725   0.07409   0.02738  -0.03058  -0.09800  -0.17352  -0.25609  -0.34491
  37.91371    0.12529   0.12225   0.10484   0.07167   0.02495  -0.03302  -0.10046  -0.17600  -0.25860  -0.34743
  37.96270    0.12291   0.11987   0.10247   0.06930   0.02257  -0.03542  -0.10288  -0.17844  -0.26106  -0.34992
  38.01170    0.12057   0.11754   0.10015   0.06698   0.02023  -0.03778  -0.10526  -0.18084  -0.26348  -0.35236
  38.06069    0.11827   0.11525   0.09787   0.06469   0.01794  -0.04009  -0.10759  -0.18319  -0.26585  -0.35476
  38.10968    0.11602   0.11301   0.09564   0.06246   0.01569  -0.04236  -0.10988  -0.18550  -0.26818  -0.35711
  38.15867    0.11381   0.11081   0.09345   0.06026   0.01348  -0.04459  -0.11212  -0.18777  -0.27047  -0.35943
  38.20766    0.11165   0.10866   0.09130   0.05811   0.01131  -0.04677  -0.11433  -0.18999  -0.27272  -0.36170
  38.25665    0.10953   0.10654   0.08920   0.05600   0.00919  -0.04891  -0.11649  -0.19218  -0.27493  -0.36393
  38.30564    0.10745   0.10448   0.08714   0.05393   0.00711  -0.05101  -0.11861  -0.19432  -0.27709  -0.36611
  38.35464    0.10542   0.10245   0.08512   0.05191   0.00507  -0.05307  -0.12069  -0.19642  -0.27922  -0.36826
  38.40363    0.10343   0.10047   0.08314   0.04993   0.00308  -0.05508  -0.12272  -0.19848  -0.28130  -0.37037
  38.45262    0.10148   0.09853   0.08121   0.04799   0.00112  -0.05705  -0.12472  -0.20049  -0.28334  -0.37243
  38.50161    0.09957   0.09663   0.07932   0.04609  -0.00079  -0.05899  -0.12667  -0.20247  -0.28534  -0.37446
  38.55060    0.09771   0.09477   0.07747   0.04423  -0.00266  -0.06088  -0.12858  -0.20441  -0.28730  -0.37644
  38.59959    0.09589   0.09296   0.07566   0.04242  -0.00449  -0.06273  -0.13045  -0.20630  -0.28922  -0.37838
  38.64858    0.09411   0.09118   0.07389   0.04064  -0.00628  -0.06454  -0.13229  -0.20816  -0.29110  -0.38029
  38.69757    0.09237   0.08945   0.07217   0.03891  -0.00803  -0.06631  -0.13408  -0.20997  -0.29294  -0.38215
  38.74657    0.09067   0.08776   0.07048   0.03722  -0.00974  -0.06803  -0.13583  -0.21175  -0.29474  -0.38398
  38.79556    0.08901   0.08611   0.06884   0.03556  -0.01141  -0.06972  -0.13754  -0.21348  -0.29650  -0.38576
  38.84455    0.08740   0.08450   0.06723   0.03395  -0.01304  -0.07137  -0.13921  -0.21518  -0.29822  -0.38751
  38.89354    0.08582   0.08293   0.06567   0.03238  -0.01463  -0.07298  -0.14085  -0.21684  -0.29990  -0.38922
  38.94253    0.08429   0.08140   0.06414   0.03084  -0.01618  -0.07456  -0.14244  -0.21845  -0.30155  -0.39089
  38.99152    0.08279   0.07991   0.06266   0.02935  -0.01769  -0.07609  -0.14400  -0.22003  -0.30315  -0.39252
  39.04051    0.08133   0.07846   0.06121   0.02789  -0.01917  -0.07758  -0.14551  -0.22158  -0.30472  -0.39411
  39.08950    0.07992   0.07705   0.05980   0.02648  -0.02060  -0.07904  -0.14699  -0.22308  -0.30625  -0.39567
  39.13850    0.07854   0.07568   0.05844   0.02510  -0.02200  -0.08045  -0.14843  -0.22455  -0.30774  -0.39719
  39.18749    0.07720   0.07434   0.05711   0.02376  -0.02335  -0.08183  -0.14983  -0.22597  -0.30919  -0.39867
  39.23648    0.07590   0.07305   0.05581   0.02246  -0.02467  -0.08317  -0.15120  -0.22736  -0.31061  -0.40011
  39.28547    0.07464   0.07179   0.05456   0.02119  -0.02595  -0.08448  -0.15253  -0.22872  -0.31199  -0.40152
  39.33446    0.07341   0.07057   0.05335   0.01997  -0.02720  -0.08574  -0.15382  -0.23003  -0.31333  -0.40289
  39.38345    0.07223   0.06939   0.05217   0.01878  -0.02841  -0.08697  -0.15507  -0.23131  -0.31464  -0.40422
  39.43244    0.07108   0.06825   0.05103   0.01763  -0.02957  -0.08817  -0.15629  -0.23255  -0.31590  -0.40551
  39.48143    0.06997   0.06715   0.04993   0.01651  -0.03071  -0.08932  -0.15747  -0.23376  -0.31714  -0.40677
  39.53043    0.06889   0.06608   0.04886   0.01544  -0.03180  -0.09044  -0.15861  -0.23493  -0.31833  -0.40800
  39.57942    0.06786   0.06505   0.04783   0.01440  -0.03286  -0.09152  -0.15972  -0.23606  -0.31949  -0.40919
  39.62841    0.06686   0.06405   0.04684   0.01339  -0.03389  -0.09257  -0.16079  -0.23716  -0.32062  -0.41034
  39.67740    0.06590   0.06309   0.04588   0.01242  -0.03487  -0.09358  -0.16183  -0.23822  -0.32171  -0.41146
  39.72639    0.06497   0.06217   0.04496   0.01149  -0.03583  -0.09455  -0.16283  -0.23925  -0.32276  -0.41254
  39.77538    0.06408   0.06129   0.04408   0.01059  -0.03674  -0.09549  -0.16379  -0.24024  -0.32378  -0.41359
  39.82437    0.06323   0.06044   0.04323   0.00973  -0.03762  -0.09640  -0.16472  -0.24120  -0.32476  -0.41460
  39.87336    0.06241   0.05962   0.04242   0.00891  -0.03847  -0.09727  -0.16561  -0.24212  -0.32571  -0.41558
  39.92236    0.06162   0.05885   0.04164   0.00812  -0.03928  -0.09810  -0.16647  -0.24301  -0.32663  -0.41652
  39.97135    0.06088   0.05810   0.04090   0.00736  -0.04005  -0.09890  -0.16730  -0.24386  -0.32751  -0.41743
  40.02034    0.06016   0.05740   0.04019   0.00664  -0.04080  -0.09966  -0.16809  -0.24468  -0.32836  -0.41830
  40.06933    0.05949   0.05672   0.03952   0.00595  -0.04150  -0.10040  -0.16885  -0.24546  -0.32917  -0.41914
  40.11832    0.05885   0.05609   0.03888   0.00530  -0.04217  -0.10109  -0.16957  -0.24621  -0.32995  -0.41995
  40.16731    0.05824   0.05548   0.03827   0.00469  -0.04281  -0.10175  -0.17026  -0.24693  -0.33069  -0.42072
  40.21630    0.05766   0.05491   0.03770   0.00410  -0.04342  -0.10238  -0.17092  -0.24761  -0.33140  -0.42146
  40.26529    0.05712   0.05438   0.03717   0.00355  -0.04399  -0.10298  -0.17154  -0.24826  -0.33208  -0.42217
  40.31429    0.05662   0.05388   0.03666   0.00304  -0.04453  -0.10354  -0.17213  -0.24888  -0.33273  -0.42285
  40.36328    0.05615   0.05341   0.03620   0.00255  -0.04503  -0.10407  -0.17268  -0.24946  -0.33334  -0.42349
  40.41227    0.05571   0.05297   0.03576   0.00210  -0.04550  -0.10457  -0.17321  -0.25001  -0.33392  -0.42410
  40.46126    0.05530   0.05257   0.03536   0.00168  -0.04594  -0.10503  -0.17370  -0.25053  -0.33447  -0.42468
  40.51025    0.05493   0.05220   0.03499   0.00130  -0.04635  -0.10546  -0.17415  -0.25102  -0.33498  -0.42522
  40.55924    0.05459   0.05187   0.03465   0.00095  -0.04672  -0.10586  -0.17458  -0.25147  -0.33547  -0.42573
  40.60823    0.05429   0.05157   0.03435   0.00063  -0.04706  -0.10623  -0.17497  -0.25189  -0.33592  -0.42621
